Morphotype,IsolateID,CulturePlate,Type,MesquiteNum,PlantOrigin,Plot,PlateNum
B06,2-DICA-OPN-3-L,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B06,2-DICA-OPN-3-M,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B06,1-ERLE-CAN-2-C,1-ERLE-CAN-2,Bacteria,1,ERLE,CAN,2
B02,1-DICA-OPN-1-E,1-DICA-OPN-1,Bacteria,1,DICA,OPN,1
B02,1-DICA-OPN-2-G,1-DICA-OPN-2,Bacteria,1,DICA,OPN,2
B06,3-ERLE-CAN-2-C,3-ERLE-CAN-2,Bacteria,3,ERLE,CAN,2
B06,3-DICA-CAN-3-H,3-DICA-CAN-3,Bacteria,3,DICA,CAN,3
B06,2-ERLE-CAN-2-B,2-ERLE-CAN-2,Bacteria,2,ERLE,CAN,2
B06,1-ERLE-CAN-2-E,1-ERLE-CAN-2,Bacteria,1,ERLE,CAN,2
B06,3-ERLE-OPN-3-G,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
B06,1-ERLE-CAN-1-D,1-ERLE-CAN-1,Bacteria,1,ERLE,CAN,1
B07,2-ERLE-CAN-3-C,2-ERLE-CAN-3,Bacteria,2,ERLE,CAN,3
B07,1-DICA-OPN-1-D,1-DICA-OPN-1,Bacteria,1,DICA,OPN,1
B07,3-DICA-CAN-2-E,3-DICA-CAN-2,Bacteria,3,DICA,CAN,2
B07,1-DICA-OPN-1-C,1-DICA-OPN-1,Bacteria,1,DICA,OPN,1
B07,3-DICA-CAN-2-D,3-DICA-CAN-2,Bacteria,3,DICA,CAN,2
B07,1-DICA-OPN-3-F,1-DICA-OPN-3,Bacteria,1,DICA,OPN,3
B08,3-ERLE-CAN-3-F,3-ERLE-CAN-3,Bacteria,3,ERLE,CAN,3
B08,3-ERLE-CAN-3-G,3-ERLE-CAN-3,Bacteria,3,ERLE,CAN,3
B08,1-ERLE-CAN-1-C,1-ERLE-CAN-1,Bacteria,1,ERLE,CAN,1
B08,3-ERLE-CAN-2-D,3-ERLE-CAN-2,Bacteria,3,ERLE,CAN,2
B08,3-ERLE-CAN-3-H,3-ERLE-CAN-3,Bacteria,3,ERLE,CAN,3
B09,1-ERLE-CAN-2-A,1-ERLE-CAN-2,Bacteria,1,ERLE,CAN,2
B09,2-DICA-CAN-1-C,2-DICA-CAN-1,Bacteria,2,DICA,CAN,1
B09,1-DICA-CAN-1-H,1-DICA-CAN-1,Bacteria,1,DICA,CAN,1
B09,2-ERLE-CAN-3-A,2-ERLE-CAN-3,Bacteria,2,ERLE,CAN,3
B09,3-DICA-CAN-2-F,3-DICA-CAN-2,Bacteria,3,DICA,CAN,2
B09,1-ERLE-CAN-2-D,1-ERLE-CAN-2,Bacteria,1,ERLE,CAN,2
B09,3-ERLE-OPN-2-A,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
Other,3-ERLE-OPN-2-K,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B01,2-DICA-OPN-1-D,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B01,3-ERLE-CAN-3-I,3-ERLE-CAN-3,Bacteria,3,ERLE,CAN,3
B01,3-ERLE-CAN-2-H,3-ERLE-CAN-2,Bacteria,3,ERLE,CAN,2
B02,3-ERLE-OPN-3-E,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
B02,3-ERLE-OPN-3-F,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
B01,2-DICA-OPN-1-D,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
F27,3-ERLE-CAN-1-C,3-ERLE-CAN-1,Fungi,3,ERLE,CAN,1
F27,3-ERLE-CAN-1-B,3-ERLE-CAN-1,Fungi,3,ERLE,CAN,1
B01,2-DICA-CAN-3-L,2-DICA-CAN-3,Bacteria,2,DICA,CAN,3
B01,3-DICA-OPN-1-E,3-DICA-OPN-1,Bacteria,3,DICA,OPN,1
B01,1-DICA-CAN-3-A,1-DICA-CAN-3,Bacteria,1,DICA,CAN,3
B01,3-DICA-CAN-3-I,3-DICA-CAN-3,Bacteria,3,DICA,CAN,3
B01,2-DICA-OPN-1-M,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B01,2-DICA-OPN-3-A,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B01,2-DICA-OPN-3-C,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B11,2-DICA-OPN-1-B,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B11,2-DICA-OPN-1-I,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B12,3-ERLE-OPN-1-E,3-ERLE-OPN-1,Bacteria,3,ERLE,OPN,1
B12,3-ERLE-CAN-2-E,3-ERLE-CAN-2,Bacteria,3,ERLE,CAN,2
B0,3-DICA-OPN-2-I,3-DICA-OPN-2,Bacteria,3,DICA,OPN,2
B02,2-DICA-CAN-3-H,2-DICA-CAN-3,Bacteria,2,DICA,CAN,3
B13,2-DICA-CAN-1-F,2-DICA-CAN-1,Bacteria,2,DICA,CAN,1
B13,2-DICA-OPN-3-D,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B13,2-DICA-OPN-3-E,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B13,2-DICA-OPN-3-F,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B14,3-DICA-CAN-3-E,3-DICA-CAN-3,Bacteria,3,DICA,CAN,3
B14,1-ERLE-CAN-2-B,1-ERLE-CAN-2,Bacteria,1,ERLE,CAN,2
B14,1-ERLE-CAN-1-A,1-ERLE-CAN-1,Bacteria,1,ERLE,CAN,1
B15,3-ERLE-OPN-3-C,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
B15,3-ERLE-OPN-3-D,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
B16,1-DICA-CAN-3-C,1-DICA-CAN-3,Bacteria,1,DICA,CAN,3
B16,3-DICA-OPN-2-D,3-DICA-OPN-2,Bacteria,3,DICA,OPN,2
B16,2-DICA-OPN-1-L,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B16,2-DICA-OPN-1-J,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B16,3-ERLE-OPN-2-E,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B17,2-DICA-OPN-1-C,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B17,3-DICA-CAN-1-E,3-DICA-CAN-1,Bacteria,3,DICA,CAN,1
B17,2-DICA-OPN-1-F,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B18,3-ERLE-OPN-1-G,3-ERLE-OPN-1,Bacteria,3,ERLE,OPN,1
B18,1-DICA-OPN-3-D,1-DICA-OPN-3,Bacteria,1,DICA,OPN,3
B18,3-DICA-OPN-3-D,3-DICA-OPN-3,Bacteria,3,DICA,OPN,3
B19,2-DICA-OPN-3-G,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B19,2-DICA-OPN-3-H,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B19,2-DICA-OPN-3-J,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
B19,3-DICA-CAN-3-F,3-DICA-CAN-3,Bacteria,3,DICA,CAN,3
B02,1-ERLE-OPN-3-B,1-ERLE-OPN-3,Bacteria,1,ERLE,OPN,3
B02,3-DICA-OPN-1-C,3-DICA-OPN-1,Bacteria,3,DICA,OPN,1
B21,3-ERLE-CAN-1-B,3-ERLE-CAN-1,Bacteria,3,ERLE,CAN,1
B21,3-DICA-OPN-2-A,3-DICA-OPN-2,Bacteria,3,DICA,OPN,2
B21,1-DICA-OPN-2-A,1-DICA-OPN-2,Bacteria,1,DICA,OPN,2
B22,1-DICA-OPN-3-H,1-DICA-OPN-3,Bacteria,1,DICA,OPN,3
B22,3-ERLE-OPN-3-C,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
B23,1-ERLE-CAN-3-E,1-ERLE-CAN-3,Bacteria,1,ERLE,CAN,3
B23,1-ERLE-OPN-3-D,1-ERLE-OPN-3,Bacteria,1,ERLE,OPN,3
B24,3-ERLE-OPN-2-E,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B24,3-DICA-CAN-3-G,3-DICA-CAN-3,Bacteria,3,DICA,CAN,3
B25,3-ERLE-OPN-2-J,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B25,1-DICA-OPN-2-C,1-DICA-OPN-2,Bacteria,1,DICA,OPN,2
B26,3-DICA-OPN-3-G,3-DICA-OPN-3,Bacteria,3,DICA,OPN,3
B27,1-ERLE-CAN-3-B,1-ERLE-CAN-3,Bacteria,1,ERLE,CAN,3
B28,3-DICA-CAN-1-F,3-DICA-CAN-1,Bacteria,3,DICA,CAN,1
B29,3-ERLE-CAN-2-F,3-ERLE-CAN-2,Bacteria,3,ERLE,CAN,2
B03,2-DICA-OPN-2-A,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B31,3-ERLE-CAN-2-I,3-ERLE-CAN-2,Bacteria,3,ERLE,CAN,2
B32,1-DICA-CAN-3-E,1-DICA-CAN-3,Bacteria,1,DICA,CAN,3
B33,1-ERLE-OPN-1-B,1-ERLE-OPN-1,Bacteria,1,ERLE,OPN,1
B34,3-ERLE-OPN-2-D,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B35,2-DICA-CAN-2-D,2-DICA-CAN-2,Bacteria,2,DICA,CAN,2
B36,2-DICA-CAN-3-K,2-DICA-CAN-3,Bacteria,2,DICA,CAN,3
B37,1-DICA-OPN-2-E,1-DICA-OPN-2,Bacteria,1,DICA,OPN,2
B38,2-DICA-OPN-2-B,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B39,1-DICA-CAN-1-A,1-DICA-CAN-1,Bacteria,1,DICA,CAN,1
B04,3-ERLE-CAN-3-J,3-ERLE-CAN-3,Bacteria,3,ERLE,CAN,3
B41,3-ERLE-OPN-2-B,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B42,3-ERLE-OPN-3-C,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
B43,1-ERLE-OPN-3-C,1-ERLE-OPN-3,Bacteria,1,ERLE,OPN,3
B44,2-DICA-CAN-3-C,2-DICA-CAN-3,Bacteria,2,DICA,CAN,3
B45,1-DICA-CAN-2-B,1-DICA-CAN-2,Bacteria,1,DICA,CAN,2
B46,3-ERLE-OPN-2-C,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B46,3-ERLE-OPN-3-A,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
B47,3-ERLE-OPN-3-B,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
Other,2-DICA-OPN-3-B,2-DICA-OPN-3,Bacteria,2,DICA,OPN,3
Other,1-DICA-OPN-1-G,1-DICA-OPN-1,Bacteria,1,DICA,OPN,1
Other,1-DICA-OPN-2-F,1-DICA-OPN-2,Bacteria,1,DICA,OPN,2
Other,3-ERLE-OPN-1-F,3-ERLE-OPN-1,Bacteria,3,ERLE,OPN,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
