"","X","Morphotype","IsolateID","CulturePlate","Type","MesquiteNum","PlantOrigin","Plot","PlateNum","morph"
"53",53,"F15","3-ERLE-OPN-3-A","3-ERLE-OPN-3","Fungi",3,"ERLE","OPN",3,"F15"
"54",54,"F16","2-DICA-CAN-3-A","2-DICA-CAN-3","Fungi",2,"DICA","CAN",3,"F16"
"55",55,"F16","2-DICA-CAN-3-M","2-DICA-CAN-3","Fungi",2,"DICA","CAN",3,"F16"
"56",56,"F17","3-ERLE-OPN-2-D","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2,"F17"
"57",57,"F17","3-ERLE-OPN-3-H","3-ERLE-OPN-3","Fungi",3,"ERLE","OPN",3,"F17"
"58",58,"F17","3-ERLE-OPN-2-E","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2,"F17"
"59",59,"F18","3-ERLE-OPN-2-G","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2,"F18"
"60",60,"F18","3-ERLE-CAN-1-D","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1,"F18"
"61",61,"F19","1-ERLE-OPN-2-A","1-ERLE-OPN-2","Fungi",1,"ERLE","OPN",2,"Uniques"
"62",62,"F02","3-ERLE-OPN-2-H","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2,"F02"
"63",63,"F21","3-ERLE-OPN-1-F","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1,"Uniques"
"64",64,"F22","3-ERLE-CAN-2-A","3-ERLE-CAN-2","Fungi",3,"ERLE","CAN",2,"Uniques"
"65",65,"F23","3-DICA-OPN-2-H","3-DICA-OPN-2","Fungi",3,"DICA","OPN",2,"F23"
"66",66,"F24","3-ERLE-OPN-3-F","3-ERLE-OPN-3","Fungi",3,"ERLE","OPN",3,"Uniques"
"67",67,"F04","1-ERLE-OPN-1-C","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1,"F04"
"68",68,"F01","3-DICA-CAN-2-B","3-DICA-CAN-2","Fungi",3,"DICA","CAN",2,"F01"
"69",69,"F25","3-DICA-CAN-1-G","3-DICA-CAN-1","Fungi",3,"DICA","CAN",1,"Uniques"
"70",70,"F26","3-ERLE-CAN-3-B","3-ERLE-CAN-3","Fungi",3,"ERLE","CAN",3,"F26"
"71",71,"F26","1-ERLE-CAN-1-B","1-ERLE-CAN-1","Fungi",1,"ERLE","CAN",1,"F26"
"72",72,"F02","3-ERLE-CAN-3-E","3-ERLE-CAN-3","Fungi",3,"ERLE","CAN",3,"F02"
"73",73,"F11","3-ERLE-OPN-2-C","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2,"F11"
"74",74,"F23","3-ERLE-CAN-1-D","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1,"F23"
"75",190,"F27","3-ERLE-CAN-1-C","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1,"F27"
"76",191,"F27","3-ERLE-CAN-1-B","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1,"F27"
